Year,value,Village
2006,36.672093,Adekiney
2007,113.47054,Adekiney
2008,48.093632,Adekiney
2009,73.9069768,Adekiney
2010,107.02217010000001,Adekiney
2011,16.349162,Adekiney
2012,56.440647999999996,Adekiney
2013,57.650266,Adekiney
2014,37.349284,Adekiney
2015,48.213696,Adekiney
2016,125.92148800000001,Adekiney
2017,155.368289,Adekiney
2018,80.31869,Adekiney
2019,19.481575,Adekiney
1983,156.36291673529422,AderSeg
1984,142.282591,AderSeg
1985,191.726888,AderSeg
1986,206.6354765130721,AderSeg
1987,60.9230996666667,AderSeg
1988,439.488631083333,AderSeg
1989,163.47218900000001,AderSeg
1990,227.203571,AderSeg
1991,264.6087321,AderSeg
1992,195.326448,AderSeg
1993,312.88250700000003,AderSeg
1994,224.38540580555562,AderSeg
1995,174.597769124183,AderSeg
1996,314.242444,AderSeg
1997,342.29078599999997,AderSeg
1998,302.97264,AderSeg
1999,425.12051299999996,AderSeg
2000,135.945658,AderSeg
2001,220.323003,AderSeg
2002,162.154766,AderSeg
2003,185.539675,AderSeg
2004,101.522516,AderSeg
2005,199.995499,AderSeg
2006,364.495573,AderSeg
2007,184.007226,AderSeg
2008,231.056221,AderSeg
2009,372.022113,AderSeg
2010,280.945332,AderSeg
2011,152.205712,AderSeg
2012,327.912071,AderSeg
2013,284.594934,AderSeg
2014,189.24388399999998,AderSeg
2015,127.050407,AderSeg
2016,326.918108,AderSeg
2017,326.56046100000003,AderSeg
2018,206.820064,AderSeg
2019,123.09233699999999,AderSeg
1983,78.09226925905699,Adibearj
1984,134.05790558333334,Adibearj
1985,189.6852321111111,Adibearj
1986,332.062233011438,Adibearj
1987,214.36809737936488,Adibearj
1988,120.251381,Adibearj
1989,123.38841299999999,Adibearj
1990,10.048056500000001,Adibearj
1991,152.351375,Adibearj
1992,60.919072,Adibearj
1993,159.5118264722222,Adibearj
1994,184.60603400000002,Adibearj
1995,108.83695980985061,Adibearj
1996,136.992521,Adibearj
1997,153.158235,Adibearj
1998,128.39571,Adibearj
1999,158.04941,Adibearj
2000,73.76729900000001,Adibearj
2001,61.287662999999995,Adibearj
2002,44.421794,Adibearj
