gid,year,mean,rank,District,Zone,Region,Country
11,1987,2.2544706192054798,5,Simada, South Gonder,Amhara, Ethiopia
11,1990,2.330680827649314,6,Simada, South Gonder,Amhara, Ethiopia
11,2002,2.3771407580136965,7,Simada, South Gonder,Amhara, Ethiopia
11,1989,2.438279266095892,8,Simada, South Gonder,Amhara, Ethiopia
11,1985,2.470044681578082,9,Simada, South Gonder,Amhara, Ethiopia
11,1995,2.559540666156164,10,Simada, South Gonder,Amhara, Ethiopia
12,1984,1.7006103251912568,1,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2009,1.8967813733397272,2,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1987,1.9647573376712328,3,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2015,1.9749447543561662,4,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2004,2.0565701131775946,5,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1990,2.17482509920548,6,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1985,2.2087185786849313,7,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1989,2.2454879906301346,8,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2002,2.2780193570958907,9,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1982,2.2888243211424664,10,Tach Gayint, South Gonder,Amhara, Ethiopia
13,1984,1.6538753631420748,1,Amba Sel, South Wollo,Amhara, Ethiopia
13,2015,1.9094169563013703,2,Amba Sel, South Wollo,Amhara, Ethiopia
13,2004,2.278577280628416,3,Amba Sel, South Wollo,Amhara, Ethiopia
13,2009,2.31042400920548,4,Amba Sel, South Wollo,Amhara, Ethiopia
13,2008,2.311148567814208,5,Amba Sel, South Wollo,Amhara, Ethiopia
13,1990,2.3509269509589044,6,Amba Sel, South Wollo,Amhara, Ethiopia
13,2011,2.3914517900821917,7,Amba Sel, South Wollo,Amhara, Ethiopia
13,1987,2.391839437342465,8,Amba Sel, South Wollo,Amhara, Ethiopia
13,1991,2.3945021032602734,9,Amba Sel, South Wollo,Amhara, Ethiopia
13,1985,2.411974665424658,10,Amba Sel, South Wollo,Amhara, Ethiopia
14,2015,1.8925078398082191,1,Debre Sina, South Wollo,Amhara, Ethiopia
14,1984,2.0966459284426238,2,Debre Sina, South Wollo,Amhara, Ethiopia
14,1991,2.25329896201096,3,Debre Sina, South Wollo,Amhara, Ethiopia
14,1992,2.293070470795081,4,Debre Sina, South Wollo,Amhara, Ethiopia
14,2002,2.3206630720356167,5,Debre Sina, South Wollo,Amhara, Ethiopia
14,1987,2.3463321053698625,6,Debre Sina, South Wollo,Amhara, Ethiopia
14,2004,2.3703643095546454,7,Debre Sina, South Wollo,Amhara, Ethiopia
14,1995,2.4699571352602727,8,Debre Sina, South Wollo,Amhara, Ethiopia
14,2003,2.4956662681287667,9,Debre Sina, South Wollo,Amhara, Ethiopia
14,1990,2.4987238080821914,10,Debre Sina, South Wollo,Amhara, Ethiopia
15,1981,,1,Dessie, South Wollo,Amhara, Ethiopia
15,1982,,2,Dessie, South Wollo,Amhara, Ethiopia
15,1983,,3,Dessie, South Wollo,Amhara, Ethiopia
15,1984,,4,Dessie, South Wollo,Amhara, Ethiopia
15,1985,,5,Dessie, South Wollo,Amhara, Ethiopia
15,1986,,6,Dessie, South Wollo,Amhara, Ethiopia
15,1987,,7,Dessie, South Wollo,Amhara, Ethiopia
15,1988,,8,Dessie, South Wollo,Amhara, Ethiopia
15,1989,,9,Dessie, South Wollo,Amhara, Ethiopia
15,1990,,10,Dessie, South Wollo,Amhara, Ethiopia
16,1984,1.810374852131149,1,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2015,2.0614723559178096,2,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2011,2.5058940097479456,3,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2008,2.5066922220956287,4,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2004,2.5812914403387985,5,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1987,2.5988204643835613,6,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2002,2.6501812546027392,7,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1991,2.6547707336520547,8,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,1990,2.683282107999999,9,Dessie Zuria, South Wollo,Amhara, Ethiopia
16,2009,2.7080549685068487,10,Dessie Zuria, South Wollo,Amhara, Ethiopia
17,2015,1.637940672884931,1,Jama, South Wollo,Amhara, Ethiopia
17,1984,1.696340922622951,2,Jama, South Wollo,Amhara, Ethiopia
17,2002,2.1118960896931505,3,Jama, South Wollo,Amhara, Ethiopia
17,1992,2.147862481592896,4,Jama, South Wollo,Amhara, Ethiopia
17,1991,2.1818867577095884,5,Jama, South Wollo,Amhara, Ethiopia
17,2014,2.191964605128768,6,Jama, South Wollo,Amhara, Ethiopia
17,2011,2.2166367324821925,7,Jama, South Wollo,Amhara, Ethiopia
17,1987,2.239676124487672,8,Jama, South Wollo,Amhara, Ethiopia
17,2009,2.2948211711808217,9,Jama, South Wollo,Amhara, Ethiopia
17,2008,2.295969995112022,10,Jama, South Wollo,Amhara, Ethiopia
18,1984,1.605398087213114,1,Kalu, South Wollo,Amhara, Ethiopia
18,2015,1.9055974444602748,2,Kalu, South Wollo,Amhara, Ethiopia
18,2011,2.2861586524739725,3,Kalu, South Wollo,Amhara, Ethiopia
18,2008,2.3077655407540982,4,Kalu, South Wollo,Amhara, Ethiopia
