gid,District,Zone,Region,Country
165,Achefer, West Gojam, Amhara, Ethiopia
166,Adet, West Gojam, Amhara, Ethiopia
167,Bahir Dar Zuria, West Gojam, Amhara, Ethiopia
168,Bure Wemberma, West Gojam, Amhara, Ethiopia
169,Dega Damot, West Gojam, Amhara, Ethiopia
170,Dembecha, West Gojam, Amhara, Ethiopia
171,Jabi Tehnan, West Gojam, Amhara, Ethiopia
172,Merawi, West Gojam, Amhara, Ethiopia
173,Quarit, West Gojam, Amhara, Ethiopia
174,Sekela, West Gojam, Amhara, Ethiopia
175,Asosa, Asosa, Benshangul-Gumaz, Ethiopia
176,Bambasi, Asosa, Benshangul-Gumaz, Ethiopia
177,Komesha, Asosa, Benshangul-Gumaz, Ethiopia
178,Kurmuk, Asosa, Benshangul-Gumaz, Ethiopia
179,Menge, Asosa, Benshangul-Gumaz, Ethiopia
180,Oda Godere, Asosa, Benshangul-Gumaz, Ethiopia
181,Sherkole, Asosa, Benshangul-Gumaz, Ethiopia
182,Tongo Sp. Wereda, Asosa, Benshangul-Gumaz, Ethiopia
183,Agelo Meti, Kemashi, Benshangul-Gumaz, Ethiopia
184,Belo Jegonfoy, Kemashi, Benshangul-Gumaz, Ethiopia
185,Kamashi, Kemashi, Benshangul-Gumaz, Ethiopia
186,Sirba Abay, Kemashi, Benshangul-Gumaz, Ethiopia
187,Yaso, Kemashi, Benshangul-Gumaz, Ethiopia
188,Bulen, Metekel, Benshangul-Gumaz, Ethiopia
189,Dangur, Metekel, Benshangul-Gumaz, Ethiopia
190,Dibate, Metekel, Benshangul-Gumaz, Ethiopia
191,Guba, Metekel, Benshangul-Gumaz, Ethiopia
192,Mandura, Metekel, Benshangul-Gumaz, Ethiopia
193,Pawe, Metekel, Benshangul-Gumaz, Ethiopia
194,Wembera, Metekel, Benshangul-Gumaz, Ethiopia
195,Dire Dawa, Dire Dawa, Dire Dawa, Ethiopia
196,Akobo, Zone 1, Gambela Peoples, Ethiopia
197,Gambela, Zone 1, Gambela Peoples, Ethiopia
198,Itang, Zone 1, Gambela Peoples, Ethiopia
199,Jikawo, Zone 1, Gambela Peoples, Ethiopia
200,Abobo, Zone 2, Gambela Peoples, Ethiopia
201,Dima, Zone 2, Gambela Peoples, Ethiopia
202,Godere, Zone 2, Gambela Peoples, Ethiopia
203,Gog, Zone 2, Gambela Peoples, Ethiopia
204,Jor, Zone 2, Gambela Peoples, Ethiopia
205,Harar/Hundene, Hundene, Harari People, Ethiopia
206,Amigna, Arsi, Oromia, Ethiopia
207,Aseko, Arsi, Oromia, Ethiopia
208,Bekoji, Arsi, Oromia, Ethiopia
209,Chole, Arsi, Oromia, Ethiopia
210,Degeluna Tijo, Arsi, Oromia, Ethiopia
211,Dodotana Sire, Arsi, Oromia, Ethiopia
212,Gedeb, Arsi, Oromia, Ethiopia
213,Gololcha, Arsi, Oromia, Ethiopia
214,Hitosa, Arsi, Oromia, Ethiopia
215,Jeju, Arsi, Oromia, Ethiopia
216,Kofele, Arsi, Oromia, Ethiopia
217,Merti, Arsi, Oromia, Ethiopia
218,Munessa, Arsi, Oromia, Ethiopia
219,Robe, Arsi, Oromia, Ethiopia
220,Seru, Arsi, Oromia, Ethiopia
221,Shirka, Arsi, Oromia, Ethiopia
222,Sude, Arsi, Oromia, Ethiopia
223,Tena, Arsi, Oromia, Ethiopia
224,Tiyo, Arsi, Oromia, Ethiopia
225,Ziway Gugda, Arsi, Oromia, Ethiopia
226,Adaba, Bale, Oromia, Ethiopia
227,Agarfa, Bale, Oromia, Ethiopia
228,Berbere, Bale, Oromia, Ethiopia
229,Dodola, Bale, Oromia, Ethiopia
230,Gasera, Bale, Oromia, Ethiopia
231,Ginir, Bale, Oromia, Ethiopia
232,Goba, Bale, Oromia, Ethiopia
233,Gololcha, Bale, Oromia, Ethiopia
234,Goro, Bale, Oromia, Ethiopia
235,Guradamole, Bale, Oromia, Ethiopia
236,Kokosa, Bale, Oromia, Ethiopia
237,Legehida, Bale, Oromia, Ethiopia
238,Meda Welabu, Bale, Oromia, Ethiopia
239,Mennana Arena Buluk, Bale, Oromia, Ethiopia
240,Nenesebo, Bale, Oromia, Ethiopia
241,Rayitu, Bale, Oromia, Ethiopia
242,Seweyna, Bale, Oromia, Ethiopia
243,Sinanana Dinsho, Bale, Oromia, Ethiopia
244,Adolana Wadera, Borena, Oromia, Ethiopia
245,Arero, Borena, Oromia, Ethiopia
246,Bore, Borena, Oromia, Ethiopia
247,Dire, Borena, Oromia, Ethiopia
248,Gelana Abaya, Borena, Oromia, Ethiopia
249,Hagere Mariam, Borena, Oromia, Ethiopia
250,Liben, Borena, Oromia, Ethiopia
251,Moyale, Borena, Oromia, Ethiopia
252,Odo Shakiso, Borena, Oromia, Ethiopia
253,Teltele, Borena, Oromia, Ethiopia
254,Uraga, Borena, Oromia, Ethiopia
255,Yabelo, Borena, Oromia, Ethiopia
256,Babile, East Harerghe, Oromia, Ethiopia
257,Bedeno, East Harerghe, Oromia, Ethiopia
258,Deder, East Harerghe, Oromia, Ethiopia
259,Fedis, East Harerghe, Oromia, Ethiopia
260,Girawa, East Harerghe, Oromia, Ethiopia
261,Golo Odo, East Harerghe, Oromia, Ethiopia
262,Goro Gutu, East Harerghe, Oromia, Ethiopia
263,Gursum, East Harerghe, Oromia, Ethiopia
264,Haro Maya, East Harerghe, Oromia, Ethiopia
265,Jarso, East Harerghe, Oromia, Ethiopia
266,Kersa, East Harerghe, Oromia, Ethiopia
267,Kombolcha, East Harerghe, Oromia, Ethiopia
268,Kurfa Chele, East Harerghe, Oromia, Ethiopia
269,Malka Balo, East Harerghe, Oromia, Ethiopia
270,Meta, East Harerghe, Oromia, Ethiopia
271,Meyu, East Harerghe, Oromia, Ethiopia
272,Ada'a Chukala, East Shewa, Oromia, Ethiopia
273,Adama, East Shewa, Oromia, Ethiopia
274,Adami Tulu  Jido Kombolcha, East Shewa, Oromia, Ethiopia
275,Akaki, East Shewa, Oromia, Ethiopia
276,Arsi Negele, East Shewa, Oromia, Ethiopia
277,Boset, East Shewa, Oromia, Ethiopia
278,Dugda Bora, East Shewa, Oromia, Ethiopia
279,Fentale, East Shewa, Oromia, Ethiopia
280,Gimbichu, East Shewa, Oromia, Ethiopia
281,Lome, East Shewa, Oromia, Ethiopia
282,Shashemene, East Shewa, Oromia, Ethiopia
283,Siraro, East Shewa, Oromia, Ethiopia
284,Abay Chomen, East Wellega, Oromia, Ethiopia
285,Abe Dongoro, East Wellega, Oromia, Ethiopia
286,Amuru, East Wellega, Oromia, Ethiopia
287,Bila Seyo, East Wellega, Oromia, Ethiopia
288,Diga, East Wellega, Oromia, Ethiopia
289,Gida Kiremu, East Wellega, Oromia, Ethiopia
290,Guduru, East Wellega, Oromia, Ethiopia
291,Guto Wayu, East Wellega, Oromia, Ethiopia
292,Ibantu, East Wellega, Oromia, Ethiopia
293,Jarti, East Wellega, Oromia, Ethiopia
294,Jimma Arjo, East Wellega, Oromia, Ethiopia
295,Jimma Horo, East Wellega, Oromia, Ethiopia
296,Jimma Rare, East Wellega, Oromia, Ethiopia
297,Leka Dulcha, East Wellega, Oromia, Ethiopia
298,Limu, East Wellega, Oromia, Ethiopia
299,Nunu Kumba, East Wellega, Oromia, Ethiopia
300,Sasiga, East Wellega, Oromia, Ethiopia
301,Sibu Sire, East Wellega, Oromia, Ethiopia
302,Wama Bonaya, East Wellega, Oromia, Ethiopia
303,Ale, Illubabor, Oromia, Ethiopia
304,Bedele, Illubabor, Oromia, Ethiopia
305,Borecha, Illubabor, Oromia, Ethiopia
306,Bure, Illubabor, Oromia, Ethiopia
307,Chora, Illubabor, Oromia, Ethiopia
