Year,value,Village
1992,156.0,AdiKisandid
1993,96.0,AdiKisandid
1994,242.0,AdiKisandid
1995,164.0,AdiKisandid
1996,135.0,AdiKisandid
1997,90.0,AdiKisandid
1998,223.0,AdiKisandid
1999,185.0,AdiKisandid
2000,130.0,AdiKisandid
2001,109.0,AdiKisandid
2002,124.0,AdiKisandid
2003,104.0,AdiKisandid
2004,61.0,AdiKisandid
2005,156.0,AdiKisandid
2006,191.0,AdiKisandid
2007,111.0,AdiKisandid
2008,58.0,AdiKisandid
2009,114.0,AdiKisandid
2010,172.0,AdiKisandid
2011,102.0,AdiKisandid
2012,85.0,AdiKisandid
2013,81.0,AdiKisandid
2014,122.0,AdiKisandid
2015,148.0,AdiKisandid
2016,98.0,AdiKisandid
2017,228.0,AdiKisandid
2018,161.0,AdiKisandid
2019,123.0,AdiKisandid
2020,129.5128205128205,AdiKisandid
1981,88.0,Adisalem
1982,150.0,Adisalem
1983,80.0,Adisalem
1984,54.0,Adisalem
1985,81.0,Adisalem
1986,61.0,Adisalem
1987,54.0,Adisalem
1988,27.0,Adisalem
1989,39.0,Adisalem
1990,86.0,Adisalem
1991,90.0,Adisalem
1992,59.0,Adisalem
1993,107.0,Adisalem
1994,11.0,Adisalem
1995,19.0,Adisalem
1996,42.0,Adisalem
1997,22.0,Adisalem
1998,69.0,Adisalem
1999,72.0,Adisalem
2000,84.0,Adisalem
2001,38.0,Adisalem
2002,37.0,Adisalem
2003,73.0,Adisalem
2004,61.0,Adisalem
2005,63.0,Adisalem
2006,68.0,Adisalem
2007,46.0,Adisalem
2008,70.0,Adisalem
2009,39.0,Adisalem
2010,45.0,Adisalem
2011,86.0,Adisalem
2012,74.0,Adisalem
2013,112.0,Adisalem
2014,46.0,Adisalem
2015,26.0,Adisalem
2016,16.0,Adisalem
2017,81.0,Adisalem
2018,15.0,Adisalem
2019,90.0,Adisalem
2020,61.051282051282136,Adisalem
1981,193.0,AdisAlemS
1982,232.0,AdisAlemS
1983,163.0,AdisAlemS
1984,75.0,AdisAlemS
1985,184.0,AdisAlemS
1986,191.0,AdisAlemS
1987,180.0,AdisAlemS
1988,227.0,AdisAlemS
1989,118.0,AdisAlemS
1990,109.0,AdisAlemS
1991,181.0,AdisAlemS
1992,225.0,AdisAlemS
1993,137.0,AdisAlemS
1994,336.0,AdisAlemS
1995,231.0,AdisAlemS
1996,215.0,AdisAlemS
1997,101.0,AdisAlemS
1998,303.0,AdisAlemS
1999,288.0,AdisAlemS
2000,185.0,AdisAlemS
2001,214.0,AdisAlemS
2002,168.0,AdisAlemS
2003,213.0,AdisAlemS
2004,136.0,AdisAlemS
2005,255.0,AdisAlemS
2006,259.0,AdisAlemS
2007,188.0,AdisAlemS
2008,148.0,AdisAlemS
2009,163.0,AdisAlemS
2010,278.0,AdisAlemS
2011,130.0,AdisAlemS
2012,166.0,AdisAlemS
2013,196.0,AdisAlemS
2014,265.0,AdisAlemS
2015,164.0,AdisAlemS
2016,188.0,AdisAlemS
2017,253.0,AdisAlemS
2018,290.0,AdisAlemS
2019,229.0,AdisAlemS
2020,199.41025641025638,AdisAlemS
1981,209.0,AdisAlemW
1982,211.0,AdisAlemW
1983,183.0,AdisAlemW
1984,129.0,AdisAlemW
1985,202.0,AdisAlemW
1986,171.0,AdisAlemW
1987,199.0,AdisAlemW
1988,211.0,AdisAlemW
1989,158.0,AdisAlemW
1990,111.0,AdisAlemW
1991,153.0,AdisAlemW
1992,338.0,AdisAlemW
1993,169.0,AdisAlemW
1994,297.0,AdisAlemW
1995,222.0,AdisAlemW
1996,238.0,AdisAlemW
1997,125.0,AdisAlemW
1998,320.0,AdisAlemW
1999,273.0,AdisAlemW
2000,197.0,AdisAlemW
2001,303.0,AdisAlemW
2002,183.0,AdisAlemW
2003,212.0,AdisAlemW
2004,193.0,AdisAlemW
2005,227.0,AdisAlemW
2006,312.0,AdisAlemW
2007,259.0,AdisAlemW
2008,164.0,AdisAlemW
2009,183.0,AdisAlemW
2010,253.0,AdisAlemW
2011,190.0,AdisAlemW
2012,255.0,AdisAlemW
2013,165.0,AdisAlemW
2014,289.0,AdisAlemW
2015,259.0,AdisAlemW
2016,168.0,AdisAlemW
2017,298.0,AdisAlemW
2018,243.0,AdisAlemW
2019,331.0,AdisAlemW
2020,220.58974358974362,AdisAlemW
1981,85.0,Adiselam
1982,96.0,Adiselam
1983,82.0,Adiselam
1984,58.0,Adiselam
1985,69.0,Adiselam
1986,63.0,Adiselam
1987,53.0,Adiselam
1988,124.0,Adiselam
1989,51.0,Adiselam
1990,74.0,Adiselam
1991,64.0,Adiselam
1992,91.0,Adiselam
1993,42.0,Adiselam
1994,50.0,Adiselam
1995,43.0,Adiselam
1996,62.0,Adiselam
1997,52.0,Adiselam
1998,89.0,Adiselam
1999,92.0,Adiselam
2000,96.0,Adiselam
2001,44.0,Adiselam
2002,24.0,Adiselam
2003,65.0,Adiselam
2004,68.0,Adiselam
2005,70.0,Adiselam
2006,87.0,Adiselam
2007,49.0,Adiselam
2008,38.0,Adiselam
2009,1.0,Adiselam
2010,114.0,Adiselam
2011,48.0,Adiselam
2012,71.0,Adiselam
2013,40.0,Adiselam
2014,110.0,Adiselam
2015,51.0,Adiselam
2016,55.0,Adiselam
2017,106.0,Adiselam
2018,66.0,Adiselam
2019,141.0,Adiselam
2020,68.82051282051279,Adiselam
1981,103.0,Adishimbirkti
1982,130.0,Adishimbirkti
1983,97.0,Adishimbirkti
1984,61.0,Adishimbirkti
1985,170.0,Adishimbirkti
1986,201.0,Adishimbirkti
1987,48.0,Adishimbirkti
1988,171.0,Adishimbirkti
1989,75.0,Adishimbirkti
1990,63.0,Adishimbirkti
1991,67.0,Adishimbirkti
1992,167.0,Adishimbirkti
1993,150.0,Adishimbirkti
1994,152.0,Adishimbirkti
1995,120.0,Adishimbirkti
1996,137.0,Adishimbirkti
1997,44.0,Adishimbirkti
1998,299.0,Adishimbirkti
1999,236.0,Adishimbirkti
2000,144.0,Adishimbirkti
2001,158.0,Adishimbirkti
2002,157.0,Adishimbirkti
2003,160.0,Adishimbirkti
2004,94.0,Adishimbirkti
2005,139.0,Adishimbirkti
2006,187.0,Adishimbirkti
2007,136.0,Adishimbirkti
2008,127.0,Adishimbirkti
2009,95.0,Adishimbirkti
2010,160.0,Adishimbirkti
2011,73.0,Adishimbirkti
2012,108.0,Adishimbirkti
2013,132.0,Adishimbirkti
2014,233.0,Adishimbirkti
2015,127.0,Adishimbirkti
2016,129.0,Adishimbirkti
2017,258.0,Adishimbirkti
2018,173.0,Adishimbirkti
2019,112.0,Adishimbirkti
2020,138.28205128205133,Adishimbirkti
1981,76.0,AdisKigni
1982,93.0,AdisKigni
1983,89.0,AdisKigni
1984,55.0,AdisKigni
1985,110.0,AdisKigni
1986,141.0,AdisKigni
1987,28.0,AdisKigni
1988,151.0,AdisKigni
1989,59.0,AdisKigni
1990,55.0,AdisKigni
1991,50.0,AdisKigni
1992,116.0,AdisKigni
1993,134.0,AdisKigni
1994,120.0,AdisKigni
1995,109.0,AdisKigni
1996,118.0,AdisKigni
1997,31.0,AdisKigni
1998,224.0,AdisKigni
1999,170.0,AdisKigni
2000,89.0,AdisKigni
2001,123.0,AdisKigni
2002,117.0,AdisKigni
2003,89.0,AdisKigni
2004,75.0,AdisKigni
2005,101.0,AdisKigni
2006,113.0,AdisKigni
2007,100.0,AdisKigni
2008,120.0,AdisKigni
2009,70.0,AdisKigni
2010,149.0,AdisKigni
2011,50.0,AdisKigni
2012,93.0,AdisKigni
2013,116.0,AdisKigni
2014,210.0,AdisKigni
2015,90.0,AdisKigni
2016,123.0,AdisKigni
2017,233.0,AdisKigni
2018,225.0,AdisKigni
2019,144.0,AdisKigni
2020,111.76923076923082,AdisKigni
1981,152.0,Adiyikoro
1982,117.0,Adiyikoro
1983,113.0,Adiyikoro
1984,71.0,Adiyikoro
1985,151.0,Adiyikoro
1986,139.0,Adiyikoro
1987,97.0,Adiyikoro
1988,123.0,Adiyikoro
1989,86.0,Adiyikoro
1990,65.0,Adiyikoro
1991,85.0,Adiyikoro
1992,220.0,Adiyikoro
1993,162.0,Adiyikoro
1994,224.0,Adiyikoro
1995,172.0,Adiyikoro
1996,208.0,Adiyikoro
1997,59.0,Adiyikoro
1998,207.0,Adiyikoro
1999,187.0,Adiyikoro
2000,158.0,Adiyikoro
2001,116.0,Adiyikoro
2002,83.0,Adiyikoro
2003,185.0,Adiyikoro
2004,69.0,Adiyikoro
2005,171.0,Adiyikoro
2006,206.0,Adiyikoro
2007,165.0,Adiyikoro
2008,96.0,Adiyikoro
2009,147.0,Adiyikoro
2010,244.0,Adiyikoro
2011,120.0,Adiyikoro
2012,195.0,Adiyikoro
2013,128.0,Adiyikoro
2014,209.0,Adiyikoro
2015,160.0,Adiyikoro
2016,163.0,Adiyikoro
2017,153.0,Adiyikoro
2018,135.0,Adiyikoro
2019,249.0,Adiyikoro
2020,148.46153846153848,Adiyikoro
1981,120.0,Adizata
1982,99.0,Adizata
1983,94.0,Adizata
1984,58.0,Adizata
1985,111.0,Adizata
1986,96.0,Adizata
1987,79.0,Adizata
1988,93.0,Adizata
1989,65.0,Adizata
1990,44.0,Adizata
1991,68.0,Adizata
1992,181.0,Adizata
1993,125.0,Adizata
1994,197.0,Adizata
1995,136.0,Adizata
1996,181.0,Adizata
1997,42.0,Adizata
1998,153.0,Adizata
1999,125.0,Adizata
2000,111.0,Adizata
2001,72.0,Adizata
2002,57.0,Adizata
2003,132.0,Adizata
2004,52.0,Adizata
2005,123.0,Adizata
2006,161.0,Adizata
2007,116.0,Adizata
2008,73.0,Adizata
2009,88.0,Adizata
2010,206.0,Adizata
2011,81.0,Adizata
2012,150.0,Adizata
2013,78.0,Adizata
2014,155.0,Adizata
2015,116.0,Adizata
2016,125.0,Adizata
2017,150.0,Adizata
2018,120.0,Adizata
2019,216.0,Adizata
2020,114.07692307692312,Adizata
1981,83.0,Adreb
1982,87.0,Adreb
1983,71.0,Adreb
1984,58.0,Adreb
1985,60.0,Adreb
1986,59.0,Adreb
1987,52.0,Adreb
1988,121.0,Adreb
1989,47.0,Adreb
1990,64.0,Adreb
1991,60.0,Adreb
1992,69.0,Adreb
1993,32.0,Adreb
1994,30.0,Adreb
1995,39.0,Adreb
1996,29.0,Adreb
1997,34.0,Adreb
1998,77.0,Adreb
1999,71.0,Adreb
2000,90.0,Adreb
2001,45.0,Adreb
2002,10.0,Adreb
2003,50.0,Adreb
2004,47.0,Adreb
2005,53.0,Adreb
2006,75.0,Adreb
2007,43.0,Adreb
2008,24.0,Adreb
2009,2.0,Adreb
2010,107.0,Adreb
2011,36.0,Adreb
2012,73.0,Adreb
2013,26.0,Adreb
2014,117.0,Adreb
2015,39.0,Adreb
2016,22.0,Adreb
2017,79.0,Adreb
2018,61.0,Adreb
2019,87.0,Adreb
2020,57.15384615384614,Adreb
1981,117.0,AgazenMeda
1982,158.0,AgazenMeda
1983,94.0,AgazenMeda
1984,83.0,AgazenMeda
1985,92.0,AgazenMeda
1986,91.0,AgazenMeda
1987,68.0,AgazenMeda
1988,88.0,AgazenMeda
1989,77.0,AgazenMeda
1990,138.0,AgazenMeda
1991,141.0,AgazenMeda
1992,66.0,AgazenMeda
1993,99.0,AgazenMeda
1994,91.0,AgazenMeda
1995,44.0,AgazenMeda
1996,116.0,AgazenMeda
1997,78.0,AgazenMeda
1998,105.0,AgazenMeda
1999,115.0,AgazenMeda
2000,108.0,AgazenMeda
2001,80.0,AgazenMeda
2002,97.0,AgazenMeda
2003,148.0,AgazenMeda
2004,125.0,AgazenMeda
2005,133.0,AgazenMeda
2006,87.0,AgazenMeda
2007,88.0,AgazenMeda
2008,100.0,AgazenMeda
2009,46.0,AgazenMeda
2010,122.0,AgazenMeda
2011,121.0,AgazenMeda
2012,85.0,AgazenMeda
2013,161.0,AgazenMeda
2014,54.0,AgazenMeda
2015,100.0,AgazenMeda
2016,73.0,AgazenMeda
2017,130.0,AgazenMeda
2018,46.0,AgazenMeda
2019,140.0,AgazenMeda
2020,100.12820512820511,AgazenMeda
1981,109.0,Agazi
1982,108.0,Agazi
1983,110.0,Agazi
1984,44.0,Agazi
1985,92.0,Agazi
1986,57.0,Agazi
1987,111.0,Agazi
1988,113.0,Agazi
1989,71.0,Agazi
1990,47.0,Agazi
1991,74.0,Agazi
1992,173.0,Agazi
1993,67.0,Agazi
1994,179.0,Agazi
1995,140.0,Agazi
1996,137.0,Agazi
1997,69.0,Agazi
1998,204.0,Agazi
1999,107.0,Agazi
2000,94.0,Agazi
2001,68.0,Agazi
2002,96.0,Agazi
2003,70.0,Agazi
2004,48.0,Agazi
2005,120.0,Agazi
2006,169.0,Agazi
2007,68.0,Agazi
2008,53.0,Agazi
2009,86.0,Agazi
2010,136.0,Agazi
2011,104.0,Agazi
2012,62.0,Agazi
2013,49.0,Agazi
2014,68.0,Agazi
2015,119.0,Agazi
2016,58.0,Agazi
2017,235.0,Agazi
2018,150.0,Agazi
2019,126.0,Agazi
2020,102.33333333333339,Agazi
1981,217.0,Agbe
1982,219.0,Agbe
1983,188.0,Agbe
1984,102.0,Agbe
1985,217.0,Agbe
1986,200.0,Agbe
1987,204.0,Agbe
1988,226.0,Agbe
1989,153.0,Agbe
1990,158.0,Agbe
1991,176.0,Agbe
1992,296.0,Agbe
1993,174.0,Agbe
1994,354.0,Agbe
1995,258.0,Agbe
1996,253.0,Agbe
1997,112.0,Agbe
1998,347.0,Agbe
1999,316.0,Agbe
2000,236.0,Agbe
2001,246.0,Agbe
2002,216.0,Agbe
2003,242.0,Agbe
2004,149.0,Agbe
2005,278.0,Agbe
2006,284.0,Agbe
2007,254.0,Agbe
2008,203.0,Agbe
2009,208.0,Agbe
2010,333.0,Agbe
2011,180.0,Agbe
2012,227.0,Agbe
2013,253.0,Agbe
2014,308.0,Agbe
2015,241.0,Agbe
2016,232.0,Agbe
2017,282.0,Agbe
2018,327.0,Agbe
2019,334.0,Agbe
2020,235.9743589743589,Agbe
1981,296.0,Agela
1982,333.0,Agela
1983,259.0,Agela
1984,255.0,Agela
1985,398.0,Agela
1986,301.0,Agela
1987,224.0,Agela
1988,294.0,Agela
1989,262.0,Agela
1990,279.0,Agela
1991,284.0,Agela
1992,385.0,Agela
1993,324.0,Agela
1994,381.0,Agela
1995,298.0,Agela
1996,288.0,Agela
1997,206.0,Agela
1998,409.0,Agela
1999,460.0,Agela
2000,431.0,Agela
2001,344.0,Agela
