year,value,village
2020,163.92307692307702,Sero
1981,178.0,Shamo
1982,140.0,Shamo
1983,104.0,Shamo
1984,234.0,Shamo
1985,221.0,Shamo
1986,280.0,Shamo
1987,146.0,Shamo
1988,191.0,Shamo
1989,231.0,Shamo
1990,131.0,Shamo
1991,300.0,Shamo
1992,132.0,Shamo
1993,132.0,Shamo
1994,237.0,Shamo
1995,135.0,Shamo
1996,191.0,Shamo
1997,197.0,Shamo
1998,336.0,Shamo
1999,234.0,Shamo
2000,224.0,Shamo
2001,360.0,Shamo
2002,268.0,Shamo
2003,287.0,Shamo
2004,182.0,Shamo
2005,276.0,Shamo
2006,214.0,Shamo
2007,372.0,Shamo
2008,264.0,Shamo
2009,191.0,Shamo
2010,161.0,Shamo
2011,251.0,Shamo
2012,289.0,Shamo
2013,251.0,Shamo
2014,138.0,Shamo
2015,210.0,Shamo
2016,294.0,Shamo
2017,166.0,Shamo
2018,257.0,Shamo
2019,244.0,Shamo
2020,221.76923076923077,Shamo
1981,170.0,ShehochTehara
1982,117.0,ShehochTehara
1983,115.0,ShehochTehara
1984,223.0,ShehochTehara
1985,226.0,ShehochTehara
1986,262.0,ShehochTehara
1987,139.0,ShehochTehara
1988,175.0,ShehochTehara
1989,233.0,ShehochTehara
1990,154.0,ShehochTehara
1991,284.0,ShehochTehara
1992,125.0,ShehochTehara
1993,136.0,ShehochTehara
1994,228.0,ShehochTehara
1995,126.0,ShehochTehara
1996,188.0,ShehochTehara
1997,185.0,ShehochTehara
1998,331.0,ShehochTehara
1999,252.0,ShehochTehara
2000,232.0,ShehochTehara
2001,361.0,ShehochTehara
2002,256.0,ShehochTehara
2003,303.0,ShehochTehara
2004,188.0,ShehochTehara
2005,266.0,ShehochTehara
2006,199.0,ShehochTehara
2007,353.0,ShehochTehara
2008,262.0,ShehochTehara
2009,188.0,ShehochTehara
2010,164.0,ShehochTehara
2011,237.0,ShehochTehara
2012,286.0,ShehochTehara
2013,237.0,ShehochTehara
2014,145.0,ShehochTehara
2015,209.0,ShehochTehara
2016,282.0,ShehochTehara
2017,152.0,ShehochTehara
2018,239.0,ShehochTehara
2019,244.0,ShehochTehara
2020,217.23076923076923,ShehochTehara
1981,222.0,Shekatekli
1982,127.0,Shekatekli
1983,96.0,Shekatekli
1984,114.0,Shekatekli
1985,206.0,Shekatekli
1986,260.0,Shekatekli
1987,146.0,Shekatekli
1988,204.0,Shekatekli
1989,171.0,Shekatekli
1990,124.0,Shekatekli
1991,166.0,Shekatekli
1992,153.0,Shekatekli
1993,182.0,Shekatekli
1994,222.0,Shekatekli
1995,220.0,Shekatekli
1996,176.0,Shekatekli
1997,214.0,Shekatekli
1998,186.0,Shekatekli
1999,223.0,Shekatekli
2000,161.0,Shekatekli
2001,196.0,Shekatekli
2002,124.0,Shekatekli
2003,223.0,Shekatekli
2004,193.0,Shekatekli
2005,194.0,Shekatekli
2006,192.0,Shekatekli
2007,250.0,Shekatekli
2008,152.0,Shekatekli
2009,196.0,Shekatekli
2010,214.0,Shekatekli
2011,191.0,Shekatekli
2012,241.0,Shekatekli
2013,181.0,Shekatekli
2014,207.0,Shekatekli
2015,135.0,Shekatekli
2016,239.0,Shekatekli
2017,153.0,Shekatekli
2018,173.0,Shekatekli
2019,194.0,Shekatekli
2020,185.15384615384613,Shekatekli
1981,397.0,Shunge
1982,238.0,Shunge
1983,216.0,Shunge
1984,230.0,Shunge
1985,266.0,Shunge
1986,349.0,Shunge
1987,154.0,Shunge
1988,455.0,Shunge
1989,268.0,Shunge
1990,342.0,Shunge
1991,350.0,Shunge
1992,364.0,Shunge
1993,271.0,Shunge
1994,434.0,Shunge
1995,365.0,Shunge
1996,334.0,Shunge
1997,264.0,Shunge
1998,479.0,Shunge
1999,441.0,Shunge
2000,283.0,Shunge
2001,506.0,Shunge
2002,252.0,Shunge
2003,394.0,Shunge
2004,264.0,Shunge
2005,383.0,Shunge
2006,373.0,Shunge
2007,405.0,Shunge
2008,326.0,Shunge
2009,372.0,Shunge
2010,342.0,Shunge
2011,322.0,Shunge
2012,314.0,Shunge
2013,325.0,Shunge
2014,236.0,Shunge
2015,207.0,Shunge
2016,421.0,Shunge
2017,322.0,Shunge
2018,358.0,Shunge
2019,279.0,Shunge
2020,330.7948717948716,Shunge
1981,249.0,Simret
1982,196.0,Simret
1983,187.0,Simret
1984,160.0,Simret
1985,206.0,Simret
1986,249.0,Simret
1987,156.0,Simret
1988,315.0,Simret
1989,177.0,Simret
1990,159.0,Simret
1991,133.0,Simret
1992,333.0,Simret
1993,135.0,Simret
1994,279.0,Simret
1995,313.0,Simret
1996,179.0,Simret
1997,196.0,Simret
1998,314.0,Simret
1999,193.0,Simret
2000,188.0,Simret
2001,357.0,Simret
2002,247.0,Simret
2003,187.0,Simret
2004,250.0,Simret
2005,175.0,Simret
2006,222.0,Simret
2007,273.0,Simret
2008,134.0,Simret
2009,138.0,Simret
2010,205.0,Simret
2011,178.0,Simret
2012,193.0,Simret
2013,172.0,Simret
2014,191.0,Simret
2015,197.0,Simret
2016,234.0,Simret
2017,191.0,Simret
2018,214.0,Simret
2019,262.0,Simret
2020,213.76923076923083,Simret
1981,131.0,SimretS
1982,65.0,SimretS
1983,40.0,SimretS
1984,14.0,SimretS
1985,85.0,SimretS
1986,122.0,SimretS
1987,40.0,SimretS
1988,161.0,SimretS
1989,93.0,SimretS
1990,103.0,SimretS
1991,115.0,SimretS
1992,42.0,SimretS
1993,43.0,SimretS
1994,159.0,SimretS
1995,117.0,SimretS
1996,84.0,SimretS
1997,122.0,SimretS
1998,238.0,SimretS
1999,108.0,SimretS
2000,83.0,SimretS
2001,105.0,SimretS
2002,23.0,SimretS
2003,62.0,SimretS
2004,165.0,SimretS
2005,57.0,SimretS
2006,97.0,SimretS
2007,193.0,SimretS
2008,35.0,SimretS
2009,118.0,SimretS
2010,165.0,SimretS
2011,94.0,SimretS
2012,38.0,SimretS
2013,53.0,SimretS
2014,34.0,SimretS
2015,23.0,SimretS
2016,89.0,SimretS
2017,59.0,SimretS
2018,165.0,SimretS
2019,54.0,SimretS
2020,92.15384615384616,SimretS
