Year,value,Village
2003,29.4,AderSeg
2004,14.5,AderSeg
2005,30.1,AderSeg
2006,21.6,AderSeg
2007,55.1,AderSeg
2008,42.8,AderSeg
2009,24.8,AderSeg
2010,46.6,AderSeg
2011,13.5,AderSeg
2012,41.2,AderSeg
2013,8.4,AderSeg
2014,27.2,AderSeg
1983,19.4382701627912,Adibearj
1984,-10.842359727879,Adibearj
1985,7.350944359420319,Adibearj
1986,14.2878482718559,Adibearj
1987,31.065128720259498,Adibearj
1988,25.816779771588802,Adibearj
1989,30.5508096723927,Adibearj
1990,2.69904552642836,Adibearj
1991,34.5377013695009,Adibearj
1992,20.8172075644753,Adibearj
1993,14.6864647234546,Adibearj
1994,18.933040878946898,Adibearj
1995,9.27656036889119,Adibearj
1996,27.492972656283197,Adibearj
1997,11.4299456652895,Adibearj
1998,14.047959299565198,Adibearj
1999,12.8939632582238,Adibearj
2000,3.3,Adibearj
2001,6.7,Adibearj
2002,2.2,Adibearj
2003,22.6,Adibearj
2004,1.8,Adibearj
2005,26.2,Adibearj
2006,20.7,Adibearj
2007,46.9,Adibearj
2008,30.4,Adibearj
2009,24.3,Adibearj
2010,39.5,Adibearj
2011,13.8,Adibearj
2012,25.7,Adibearj
2013,2.2,Adibearj
2014,17.7,Adibearj
1983,38.9676411239414,AdiHa
1984,12.1190312647387,AdiHa
1985,24.945214105564297,AdiHa
1986,32.2951159596349,AdiHa
1987,67.3026099653323,AdiHa
1988,34.969414471354,AdiHa
1989,8.537190436517731,AdiHa
1990,-0.651585406865699,AdiHa
1991,38.2907258035118,AdiHa
1992,52.904224610522206,AdiHa
1993,40.119132476048605,AdiHa
1994,31.451732816208896,AdiHa
1995,30.101391280941602,AdiHa
1996,26.265422456173397,AdiHa
1997,50.375199767996996,AdiHa
1998,26.652886190384802,AdiHa
1999,35.525566368483894,AdiHa
2000,12.8,AdiHa
2001,18.7,AdiHa
2002,5.5,AdiHa
2003,45.6,AdiHa
2004,9.5,AdiHa
2005,42.1,AdiHa
2006,30.3,AdiHa
2007,62.2,AdiHa
2008,50.7,AdiHa
2009,30.0,AdiHa
2010,57.6,AdiHa
2011,18.6,AdiHa
2012,47.3,AdiHa
2013,9.0,AdiHa
2014,26.6,AdiHa
1983,7.800985431623241,AdiKisandid
1984,-10.4389418348015,AdiKisandid
1985,52.045808898020404,AdiKisandid
1986,2.30545558388106,AdiKisandid
1987,68.0638975223513,AdiKisandid
1988,15.7469767422416,AdiKisandid
1989,19.925686039266104,AdiKisandid
1990,7.75746502594404,AdiKisandid
1991,48.53805482087971,AdiKisandid
1992,29.9434925245562,AdiKisandid
1993,30.7984246318102,AdiKisandid
1994,23.6921239070602,AdiKisandid
1995,35.1964711458191,AdiKisandid
1996,14.216821789115901,AdiKisandid
1997,37.7383817370083,AdiKisandid
1998,19.8597957698919,AdiKisandid
1999,32.4862941585341,AdiKisandid
2000,7.5,AdiKisandid
2001,12.8,AdiKisandid
2002,2.3,AdiKisandid
2003,34.8,AdiKisandid
2004,4.2,AdiKisandid
2005,33.4,AdiKisandid
2006,23.0,AdiKisandid
2007,59.7,AdiKisandid
2008,47.5,AdiKisandid
2009,29.6,AdiKisandid
2010,50.5,AdiKisandid
2011,15.4,AdiKisandid
2012,37.6,AdiKisandid
2013,8.6,AdiKisandid
2014,21.1,AdiKisandid
1983,76.354321599231,Adisalem
1984,28.297543962507802,Adisalem
1985,93.94241771773409,Adisalem
1986,77.9014146024314,Adisalem
1987,136.464197108574,Adisalem
1988,37.54826374496471,Adisalem
1989,85.6994317882189,Adisalem
1990,67.3753766851723,Adisalem
1991,110.173223740376,Adisalem
1992,47.053944944954395,Adisalem
1993,87.11917184443769,Adisalem
1994,47.9330993377816,Adisalem
1995,58.531092692179605,Adisalem
1996,153.361204181318,Adisalem
1997,95.41745307436778,Adisalem
1998,16.2930466727851,Adisalem
1999,44.673794000844005,Adisalem
2000,74.5,Adisalem
2001,33.4,Adisalem
2002,14.1,Adisalem
2003,102.0,Adisalem
2004,48.4,Adisalem
2005,124.2,Adisalem
2006,93.2,Adisalem
2007,81.9,Adisalem
2008,108.2,Adisalem
2009,68.6,Adisalem
2010,95.6,Adisalem
2011,68.9,Adisalem
2012,88.0,Adisalem
2013,39.4,Adisalem
2014,87.4,Adisalem
1983,50.993905442322905,AdisAlemS
1984,5.9440654436485,AdisAlemS
1985,25.322705358087696,AdisAlemS
1986,22.1885940918387,AdisAlemS
1987,61.3071539193623,AdisAlemS
1988,27.528958758355998,AdisAlemS
1989,15.6112602760518,AdisAlemS
1990,5.1156541913158,AdisAlemS
1991,42.9794865457041,AdisAlemS
1992,38.2939091257242,AdisAlemS
1993,45.677761965078204,AdisAlemS
1994,20.2261537446449,AdisAlemS
1995,34.9741797070689,AdisAlemS
1996,36.43298234462829,AdisAlemS
1997,36.931117885065,AdisAlemS
1998,23.5522878046944,AdisAlemS
1999,41.8551517489533,AdisAlemS
2000,12.5,AdisAlemS
2001,16.4,AdisAlemS
2002,7.6,AdisAlemS
2003,42.8,AdisAlemS
2004,18.2,AdisAlemS
2005,35.5,AdisAlemS
2006,30.7,AdisAlemS
2007,66.2,AdisAlemS
2008,51.0,AdisAlemS
2009,30.7,AdisAlemS
2010,51.0,AdisAlemS
2011,20.3,AdisAlemS
2012,48.0,AdisAlemS
2013,7.7,AdisAlemS
2014,21.1,AdisAlemS
1983,21.1785334011627,AdisAlemW
1984,0.679936699475839,AdisAlemW
1985,24.5813899831884,AdisAlemW
1986,11.195602829145601,AdisAlemW
1987,40.1988883861786,AdisAlemW
1988,22.6078003707081,AdisAlemW
1989,16.5966522680672,AdisAlemW
1990,-6.32580818016186,AdisAlemW
1991,23.6415614959583,AdisAlemW
1992,43.9082233739154,AdisAlemW
1993,8.967947060046859,AdisAlemW
1994,21.3733895519898,AdisAlemW
1995,18.4172151075886,AdisAlemW
1996,30.5913407536835,AdisAlemW
1997,21.4673608136275,AdisAlemW
1998,25.052096010964302,AdisAlemW
1999,17.4689666717202,AdisAlemW
2000,3.9,AdisAlemW
