gid,year,mean,rank,district,Zone,region,Country
10,2014,2.2441711307397263,2,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2002,2.264098152602739,3,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1995,2.369480950164383,4,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2004,2.3757708494535517,5,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1984,2.4044816234699455,6,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1999,2.4597094427397264,7,Lay Gayint, South Gonder,Amhara, Ethiopia
10,2012,2.5013788661748637,8,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1994,2.5266645944931514,9,Lay Gayint, South Gonder,Amhara, Ethiopia
10,1992,2.5385147058196718,10,Lay Gayint, South Gonder,Amhara, Ethiopia
11,1997,2.223970736438356,1,Simada, South Gonder,Amhara, Ethiopia
11,2002,2.3719158410958903,2,Simada, South Gonder,Amhara, Ethiopia
11,2014,2.382875903561645,3,Simada, South Gonder,Amhara, Ethiopia
11,1984,2.471310725956284,4,Simada, South Gonder,Amhara, Ethiopia
11,1999,2.4904084586301365,5,Simada, South Gonder,Amhara, Ethiopia
11,1992,2.492485200546448,6,Simada, South Gonder,Amhara, Ethiopia
11,1994,2.5157523515068494,7,Simada, South Gonder,Amhara, Ethiopia
11,1995,2.549313077534246,8,Simada, South Gonder,Amhara, Ethiopia
11,2004,2.590844243989072,9,Simada, South Gonder,Amhara, Ethiopia
11,2012,2.598358456010929,10,Simada, South Gonder,Amhara, Ethiopia
12,1997,2.0386055724383563,1,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2002,2.2450421453150686,2,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1984,2.262988940710382,3,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1999,2.3531657876712333,4,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2004,2.3621735207650287,5,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1992,2.3670690434426223,6,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1994,2.3908210155616443,7,Tach Gayint, South Gonder,Amhara, Ethiopia
12,2014,2.395284695890412,8,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1995,2.3962358970958917,9,Tach Gayint, South Gonder,Amhara, Ethiopia
12,1991,2.458995225479453,10,Tach Gayint, South Gonder,Amhara, Ethiopia
13,2014,2.1556404413698633,1,Amba Sel, South Wollo,Amhara, Ethiopia
13,2002,2.316112775315069,2,Amba Sel, South Wollo,Amhara, Ethiopia
13,1997,2.346774053753424,3,Amba Sel, South Wollo,Amhara, Ethiopia
13,1984,2.4187984337431696,4,Amba Sel, South Wollo,Amhara, Ethiopia
13,1995,2.478862852136986,5,Amba Sel, South Wollo,Amhara, Ethiopia
13,2004,2.4926756309289626,6,Amba Sel, South Wollo,Amhara, Ethiopia
13,2009,2.5071781507397257,7,Amba Sel, South Wollo,Amhara, Ethiopia
13,1992,2.5217308964480876,8,Amba Sel, South Wollo,Amhara, Ethiopia
13,1999,2.562831764465754,9,Amba Sel, South Wollo,Amhara, Ethiopia
13,1994,2.5646459846575334,10,Amba Sel, South Wollo,Amhara, Ethiopia
14,2014,2.3753424657534246,1,Debre Sina, South Wollo,Amhara, Ethiopia
14,1997,2.3863013698630136,2,Debre Sina, South Wollo,Amhara, Ethiopia
14,1984,2.5245901639344264,3,Debre Sina, South Wollo,Amhara, Ethiopia
14,2002,2.536986301369863,4,Debre Sina, South Wollo,Amhara, Ethiopia
14,1992,2.5655737704918034,5,Debre Sina, South Wollo,Amhara, Ethiopia
14,1994,2.610958904109589,6,Debre Sina, South Wollo,Amhara, Ethiopia
14,1999,2.6301369863013697,7,Debre Sina, South Wollo,Amhara, Ethiopia
14,2009,2.7041095890410958,8,Debre Sina, South Wollo,Amhara, Ethiopia
14,1988,2.7158469945355193,9,Debre Sina, South Wollo,Amhara, Ethiopia
14,1986,2.736986301369863,10,Debre Sina, South Wollo,Amhara, Ethiopia
15,2014,2.3753424657534246,1,Dessie, South Wollo,Amhara, Ethiopia
15,1997,2.3863013698630136,2,Dessie, South Wollo,Amhara, Ethiopia
15,1984,2.5245901639344264,3,Dessie, South Wollo,Amhara, Ethiopia
15,2002,2.536986301369863,4,Dessie, South Wollo,Amhara, Ethiopia
