gid,year,mean,rank,district,Zone,region,Country
22,1992,2.519125683,6,Legambo, South Wollo,Amhara, Ethiopia
22,1999,2.531506849,5,Legambo, South Wollo,Amhara, Ethiopia
22,1994,2.553424658,4,Legambo, South Wollo,Amhara, Ethiopia
22,1988,2.696721311,3,Legambo, South Wollo,Amhara, Ethiopia
22,1986,2.709589041,2,Legambo, South Wollo,Amhara, Ethiopia
22,1995,2.720547945,1,Legambo, South Wollo,Amhara, Ethiopia
23,1997,2.376184379,10,Mekdela, South Wollo,Amhara, Ethiopia
23,2014,2.433717927,9,Mekdela, South Wollo,Amhara, Ethiopia
23,1984,2.49096177,8,Mekdela, South Wollo,Amhara, Ethiopia
23,1992,2.561580622,7,Mekdela, South Wollo,Amhara, Ethiopia
23,2002,2.623602154,6,Mekdela, South Wollo,Amhara, Ethiopia
23,1999,2.639618619,5,Mekdela, South Wollo,Amhara, Ethiopia
23,1988,2.67107932,4,Mekdela, South Wollo,Amhara, Ethiopia
23,1994,2.672707011,3,Mekdela, South Wollo,Amhara, Ethiopia
23,1986,2.707691123,2,Mekdela, South Wollo,Amhara, Ethiopia
23,2009,2.755321312,1,Mekdela, South Wollo,Amhara, Ethiopia
24,1997,2.391779806,10,Sayint, South Wollo,Amhara, Ethiopia
24,2014,2.418833257,9,Sayint, South Wollo,Amhara, Ethiopia
24,1984,2.514344085,8,Sayint, South Wollo,Amhara, Ethiopia
24,1992,2.552255197,7,Sayint, South Wollo,Amhara, Ethiopia
24,2002,2.586641788,6,Sayint, South Wollo,Amhara, Ethiopia
24,1994,2.644519289,5,Sayint, South Wollo,Amhara, Ethiopia
24,1999,2.652395188,4,Sayint, South Wollo,Amhara, Ethiopia
24,1988,2.701844007,3,Sayint, South Wollo,Amhara, Ethiopia
24,2009,2.72876663,2,Sayint, South Wollo,Amhara, Ethiopia
24,1986,2.734588176,1,Sayint, South Wollo,Amhara, Ethiopia
25,1997,2.301369863,10,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,2014,2.416438356,9,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,2002,2.449315068,8,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1984,2.505464481,7,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1992,2.543715847,6,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1994,2.561643836,5,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1999,2.591780822,4,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,1995,2.632876712,3,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,2011,2.684931507,2,WEREDA 01, Unknown, Addis Ababa, Ethiopia
25,2012,2.691256831,1,WEREDA 01, Unknown, Addis Ababa, Ethiopia
26,1997,2.299235601,10,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1984,2.43776359,9,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,2014,2.469102525,8,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1992,2.543410846,7,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1999,2.596649825,6,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,2002,2.61095769,5,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1994,2.642921146,4,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1988,2.657863468,3,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1986,2.671840522,2,WEREDA 02, Unknown, Addis Ababa, Ethiopia
26,1987,2.727548636,1,WEREDA 02, Unknown, Addis Ababa, Ethiopia
27,1997,2.054855531,10,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,2002,2.104317605,9,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,2014,2.13689895,8,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,2004,2.144913753,7,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1995,2.182054587,6,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,2012,2.259041787,5,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1984,2.354369244,4,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1999,2.362746149,3,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,1994,2.391020051,2,WEREDA 03, Unknown, Addis Ababa, Ethiopia
27,2011,2.401272177,1,WEREDA 03, Unknown, Addis Ababa, Ethiopia
28,1997,2.01042665,10,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,2002,2.105521157,9,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,2004,2.128588151,8,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1995,2.225803988,7,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1984,2.284152916,6,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,2012,2.299839771,5,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1999,2.311618851,4,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,2014,2.311885552,3,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1994,2.314448823,2,WEREDA 04, Unknown, Addis Ababa, Ethiopia
28,1992,2.322227385,1,WEREDA 04, Unknown, Addis Ababa, Ethiopia
29,1984,0.036695388,10,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,2002,0.071683712,9,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,2009,0.078725891,8,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1997,0.081572097,7,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1983,0.091015263,6,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1993,0.091425584,5,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,2011,0.091492302,4,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1991,0.098246352,3,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1985,0.112351948,2,WEREDA 07, Unknown, Addis Ababa, Ethiopia
29,1990,0.125692084,1,WEREDA 07, Unknown, Addis Ababa, Ethiopia
30,1984,0.03437015,10,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1997,0.050632232,9,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1991,0.052580788,8,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2011,0.059168592,7,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1983,0.069446089,6,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2009,0.085396983,5,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1985,0.104953723,4,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2002,0.120808542,3,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,2001,0.13447438,2,WEREDA 09, Unknown, Addis Ababa, Ethiopia
30,1989,0.141483846,1,WEREDA 09, Unknown, Addis Ababa, Ethiopia
31,1984,0.440602365,10,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1990,0.658881534,9,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1991,0.892054969,8,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1983,0.894550663,7,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,2009,0.950653875,6,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1985,1.038692992,5,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1986,1.056218272,4,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,1987,1.076948735,3,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,2008,1.103784784,2,WEREDA 13, Unknown, Addis Ababa, Ethiopia
31,2002,1.111092178,1,WEREDA 13, Unknown, Addis Ababa, Ethiopia
32,1984,0.069025224,10,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1991,0.126607926,9,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1983,0.143704763,8,WEREDA 14, Unknown, Addis Ababa, Ethiopia
