Year,value,Village
1994,126.19999999999999,Adekiney
1995,125.5,Adekiney
1996,118.0,Adekiney
1997,142.8,Adekiney
1998,132.6,Adekiney
1999,164.0,Adekiney
2000,118.39999999999999,Adekiney
2001,104.89999999999999,Adekiney
2002,26.6,Adekiney
2003,118.69999999999999,Adekiney
2004,92.6,Adekiney
2005,117.9,Adekiney
2006,94.2,Adekiney
2007,219.89999999999998,Adekiney
2008,97.10000000000001,Adekiney
2009,108.39999999999999,Adekiney
2010,161.60000000000002,Adekiney
2011,89.3,Adekiney
2012,140.10000000000002,Adekiney
2013,116.2,Adekiney
2014,94.0,Adekiney
2015,81.0,Adekiney
2016,130.60000000000002,Adekiney
2017,106.5,Adekiney
2018,113.69999999999999,Adekiney
2019,74.4,Adekiney
1983,164.7055555555555,AderSeg
1984,199.89999999999998,AderSeg
1985,249.1,AderSeg
1986,275.227777777778,AderSeg
1987,129.9138888888889,AderSeg
1988,530.9,AderSeg
1989,269.5,AderSeg
1990,301.70000000000005,AderSeg
1991,339.6,AderSeg
1992,140.4,AderSeg
1993,225.0,AderSeg
1994,333.0,AderSeg
1995,275.6,AderSeg
1996,312.40000000000003,AderSeg
1997,242.39999999999998,AderSeg
1998,496.2,AderSeg
1999,396.5,AderSeg
2000,376.0,AderSeg
2001,401.79999999999995,AderSeg
2002,227.3,AderSeg
2003,272.40000000000003,AderSeg
2004,224.8,AderSeg
2005,361.7,AderSeg
2006,208.8,AderSeg
2007,370.8,AderSeg
2008,289.4,AderSeg
2009,286.0,AderSeg
2010,401.5,AderSeg
2011,282.3,AderSeg
2012,424.0,AderSeg
2013,366.0,AderSeg
2014,220.5,AderSeg
2015,195.60000000000002,AderSeg
2016,373.70000000000005,AderSeg
2017,323.9,AderSeg
2018,263.8,AderSeg
2019,220.6,AderSeg
1983,71.7083333333333,Adibearj
1984,73.80000000000001,Adibearj
1985,122.3,Adibearj
1986,177.0,Adibearj
1987,152.8305555555556,Adibearj
1988,114.5,Adibearj
1989,106.5,Adibearj
1990,61.199999999999996,Adibearj
1991,118.30000000000001,Adibearj
1992,78.1,Adibearj
1993,97.8,Adibearj
1994,131.9,Adibearj
