gid,time,mean,a,order
30,1984,,WEREDA 09,2
30,1985,,WEREDA 09,3
30,1986,,WEREDA 09,4
30,1987,,WEREDA 09,5
30,1988,,WEREDA 09,6
30,1989,,WEREDA 09,7
30,1990,,WEREDA 09,8
30,1991,,WEREDA 09,9
30,1992,,WEREDA 09,10
31,1983,,WEREDA 13,1
31,1984,,WEREDA 13,2
31,1985,,WEREDA 13,3
31,1986,,WEREDA 13,4
31,1987,,WEREDA 13,5
31,1988,,WEREDA 13,6
31,1989,,WEREDA 13,7
31,1990,,WEREDA 13,8
31,1991,,WEREDA 13,9
31,1992,,WEREDA 13,10
32,2004,2.2041131032786883,WEREDA 14,1
32,2002,2.7911160385245903,WEREDA 14,2
32,2000,2.9020530557377056,WEREDA 14,3
32,2011,3.3307405491803275,WEREDA 14,4
32,1987,3.472437166086955,WEREDA 14,5
32,2001,3.5184433844262286,WEREDA 14,6
32,2005,3.6280332844262304,WEREDA 14,7
32,2014,3.774856020491804,WEREDA 14,8
32,2003,3.9973706467213113,WEREDA 14,9
32,2015,4.09888115,WEREDA 14,10
33,2004,2.2041131032786883,WEREDA 18,1
33,2002,2.7911160385245903,WEREDA 18,2
33,2000,2.9020530557377056,WEREDA 18,3
33,2011,3.3307405491803275,WEREDA 18,4
33,1987,3.472437166086955,WEREDA 18,5
33,2001,3.5184433844262286,WEREDA 18,6
33,2005,3.6280332844262304,WEREDA 18,7
33,2014,3.774856020491804,WEREDA 18,8
33,2003,3.9973706467213113,WEREDA 18,9
33,2015,4.09888115,WEREDA 18,10
34,2004,2.3663162377049174,WEREDA 22,1
34,2002,3.2006987655737698,WEREDA 22,2
34,1987,3.4779388321739133,WEREDA 22,3
34,2000,3.5442691581967227,WEREDA 22,4
34,2001,3.5494412836065576,WEREDA 22,5
34,2011,3.76645875,WEREDA 22,6
34,2005,4.087690918032788,WEREDA 22,7
34,2003,4.109215246721312,WEREDA 22,8
34,2014,4.162425231967212,WEREDA 22,9
34,1997,4.183089301639345,WEREDA 22,10
35,1983,,WEREDA 05,1
35,1984,,WEREDA 05,2
35,1985,,WEREDA 05,3
35,1986,,WEREDA 05,4
35,1987,,WEREDA 05,5
35,1988,,WEREDA 05,6
35,1989,,WEREDA 05,7
35,1990,,WEREDA 05,8
35,1991,,WEREDA 05,9
35,1992,,WEREDA 05,10
36,1983,,WEREDA 06,1
36,1984,,WEREDA 06,2
36,1985,,WEREDA 06,3
36,1986,,WEREDA 06,4
36,1987,,WEREDA 06,5
36,1988,,WEREDA 06,6
36,1989,,WEREDA 06,7
36,1990,,WEREDA 06,8
36,1991,,WEREDA 06,9
36,1992,,WEREDA 06,10
37,2004,2.3663162377049174,WEREDA 20,1
37,2002,3.2006987655737698,WEREDA 20,2
37,1987,3.4779388321739133,WEREDA 20,3
37,2000,3.5442691581967227,WEREDA 20,4
37,2001,3.5494412836065576,WEREDA 20,5
37,2011,3.76645875,WEREDA 20,6
37,2005,4.087690918032788,WEREDA 20,7
37,2003,4.109215246721312,WEREDA 20,8
37,2014,4.162425231967212,WEREDA 20,9
37,1997,4.183089301639345,WEREDA 20,10
38,1983,,WEREDA 21,1
38,1984,,WEREDA 21,2
38,1985,,WEREDA 21,3
38,1986,,WEREDA 21,4
38,1987,,WEREDA 21,5
38,1988,,WEREDA 21,6
38,1989,,WEREDA 21,7
38,1990,,WEREDA 21,8
38,1991,,WEREDA 21,9
38,1992,,WEREDA 21,10
39,2004,2.3663162377049174,WEREDA 23,1
39,2002,3.2006987655737698,WEREDA 23,2
39,1987,3.4779388321739133,WEREDA 23,3
39,2000,3.5442691581967227,WEREDA 23,4
39,2001,3.5494412836065576,WEREDA 23,5
39,2011,3.76645875,WEREDA 23,6
39,2005,4.087690918032788,WEREDA 23,7
39,2003,4.109215246721312,WEREDA 23,8
39,2014,4.162425231967212,WEREDA 23,9
39,1997,4.183089301639345,WEREDA 23,10
40,2004,2.3050111557377044,WEREDA 24,1
40,2002,3.2044876498360657,WEREDA 24,2
40,1987,3.414504353913044,WEREDA 24,3
40,2000,3.4199448032786885,WEREDA 24,4
40,2001,3.4293753655737698,WEREDA 24,5
40,2011,3.697945982540983,WEREDA 24,6
40,2005,3.935219504918032,WEREDA 24,7
40,2015,3.9950052672131138,WEREDA 24,8
40,2014,4.022521882295083,WEREDA 24,9
40,2003,4.0753149532786885,WEREDA 24,10
41,2004,2.1857296934426227,WEREDA 17,1
41,2002,2.7793814459016413,WEREDA 17,2
41,2000,2.856125543442624,WEREDA 17,3
41,2011,3.3334352819672124,WEREDA 17,4
41,1987,3.378208366086956,WEREDA 17,5
41,2005,3.3934717262295084,WEREDA 17,6
41,2001,3.5226504524590165,WEREDA 17,7
41,2014,3.754158131967214,WEREDA 17,8
41,2003,3.82399350737705,WEREDA 17,9
41,2015,3.851957263114754,WEREDA 17,10
42,2004,2.1155147852459018,WEREDA 19,1
42,2000,2.9118128114754103,WEREDA 19,2
42,2002,3.073582606229506,WEREDA 19,3
42,2001,3.1694553967213115,WEREDA 19,4
42,1987,3.2962407840000014,WEREDA 19,5
42,2005,3.3951234483606565,WEREDA 19,6
42,2011,3.4454208008196705,WEREDA 19,7
42,2015,3.4627836478688514,WEREDA 19,8
42,2014,3.608215240245902,WEREDA 19,9
42,2003,3.870194170491804,WEREDA 19,10
43,2004,2.316786295081967,WEREDA 28,1
43,2002,2.712112580327869,WEREDA 28,2
43,2000,2.949042255737705,WEREDA 28,3
43,2011,3.2941432295081965,WEREDA 28,4
43,2005,3.296569922131148,WEREDA 28,5
43,1987,3.3577994236521733,WEREDA 28,6
