year,District,value
2005,Chililabombwe,275
2006,Chililabombwe,271.17029
2007,Chililabombwe,252.560969
2008,Chililabombwe,266.35554
2009,Chililabombwe,275
2010,Chililabombwe,275
2011,Chililabombwe,275
2012,Chililabombwe,267.33586
2013,Chililabombwe,269.70209
2014,Chililabombwe,275
2015,Chililabombwe,275
2016,Chililabombwe,259.451891
2017,Chililabombwe,275
2018,Chililabombwe,275
2019,Chililabombwe,275
1981,Chingola,261.258
1982,Chingola,261.38403
1983,Chingola,273.9106
1984,Chingola,275
1985,Chingola,275
1986,Chingola,269.07395
1987,Chingola,267.58627
1988,Chingola,275
1989,Chingola,261.93528
1990,Chingola,275
1991,Chingola,275
1992,Chingola,275
1993,Chingola,263.63183
1994,Chingola,270.99282
1995,Chingola,275
1996,Chingola,268.34429
1997,Chingola,271.91457
1998,Chingola,275
1999,Chingola,275
2000,Chingola,275
2001,Chingola,275
2002,Chingola,275
2003,Chingola,266.6964
2004,Chingola,275
2005,Chingola,275
2006,Chingola,273.37454
2007,Chingola,248.770115
2008,Chingola,264.2666
2009,Chingola,275
2010,Chingola,275
2011,Chingola,275
2012,Chingola,266.70043
2013,Chingola,269.75652
2014,Chingola,275
2015,Chingola,275
2016,Chingola,259.579511
2017,Chingola,275
2018,Chingola,275
2019,Chingola,275
1981,Kalulushi,255.16611
1982,Kalulushi,263.11683
1983,Kalulushi,268.03281
1984,Kalulushi,275
1985,Kalulushi,275
1986,Kalulushi,263.01157
1987,Kalulushi,262.69293
1988,Kalulushi,275
1989,Kalulushi,260.99587
1990,Kalulushi,275
1991,Kalulushi,275
1992,Kalulushi,275
1993,Kalulushi,260.5479
1994,Kalulushi,263.78168
1995,Kalulushi,271.66146
1996,Kalulushi,267.55207
1997,Kalulushi,275
1998,Kalulushi,275
1999,Kalulushi,275
2000,Kalulushi,275
2001,Kalulushi,275
2002,Kalulushi,275
2003,Kalulushi,265.5664
2004,Kalulushi,272.97263
2005,Kalulushi,275
2006,Kalulushi,270.55804
2007,Kalulushi,248.980849
2008,Kalulushi,262.25267
2009,Kalulushi,275
2010,Kalulushi,275
2011,Kalulushi,275
2012,Kalulushi,260.90274
2013,Kalulushi,261.40101
2014,Kalulushi,272.63294
2015,Kalulushi,275
2016,Kalulushi,261.82508
2017,Kalulushi,275
2018,Kalulushi,271.99345
2019,Kalulushi,275
1981,Kitwe,259.46311
1982,Kitwe,263.49777
1983,Kitwe,265.01934
1984,Kitwe,275
1985,Kitwe,275
1986,Kitwe,261.10676
1987,Kitwe,265.49648
1988,Kitwe,275
1989,Kitwe,259.383451
1990,Kitwe,275
1991,Kitwe,275
1992,Kitwe,275
1993,Kitwe,252.10148
1994,Kitwe,270.56202
1995,Kitwe,274.17527
1996,Kitwe,267.60363
1997,Kitwe,271.99219
1998,Kitwe,275
1999,Kitwe,275
2000,Kitwe,275
2001,Kitwe,275
2002,Kitwe,275
2003,Kitwe,267.61962
2004,Kitwe,273.78513
2005,Kitwe,275
2006,Kitwe,267.34188
2007,Kitwe,247.237306
2008,Kitwe,260.87539
2009,Kitwe,275
2010,Kitwe,275
2011,Kitwe,275
2012,Kitwe,261.98809
2013,Kitwe,259.643328
2014,Kitwe,271.64711
2015,Kitwe,275
2016,Kitwe,267.57692
2017,Kitwe,275
2018,Kitwe,273.39107
2019,Kitwe,275
1981,Luanshya,253.442935
1982,Luanshya,269.5593
1983,Luanshya,270.43109
1984,Luanshya,273.92009
1985,Luanshya,275
1986,Luanshya,264.79619
1987,Luanshya,264.64756
1988,Luanshya,275
1989,Luanshya,260.93213
1990,Luanshya,275
1991,Luanshya,270.70481
1992,Luanshya,275
1993,Luanshya,243.745859
1994,Luanshya,265.07963
1995,Luanshya,268.82199
1996,Luanshya,266.82334
1997,Luanshya,262.04299
1998,Luanshya,275
1999,Luanshya,275
2000,Luanshya,275
2001,Luanshya,275
