gid,year,mean,rank,district,Zone,Kwilu,Country
17,2009,2.294821171,2,Jama, South Wollo,Amhara, Ethiopia
17,2008,2.295969995,1,Jama, South Wollo,Amhara, Ethiopia
18,1984,1.605398087,10,Kalu, South Wollo,Amhara, Ethiopia
18,2015,1.905597444,9,Kalu, South Wollo,Amhara, Ethiopia
18,2011,2.286158652,8,Kalu, South Wollo,Amhara, Ethiopia
18,2008,2.307765541,7,Kalu, South Wollo,Amhara, Ethiopia
18,1990,2.418509297,6,Kalu, South Wollo,Amhara, Ethiopia
18,2002,2.421268964,5,Kalu, South Wollo,Amhara, Ethiopia
18,1991,2.441435054,4,Kalu, South Wollo,Amhara, Ethiopia
18,1987,2.456438455,3,Kalu, South Wollo,Amhara, Ethiopia
18,2009,2.46668414,2,Kalu, South Wollo,Amhara, Ethiopia
18,2004,2.505368565,1,Kalu, South Wollo,Amhara, Ethiopia
19,2015,1.616244271,10,Kelela, South Wollo,Amhara, Ethiopia
19,1984,1.69478164,9,Kelela, South Wollo,Amhara, Ethiopia
19,2002,2.017438573,8,Kelela, South Wollo,Amhara, Ethiopia
19,1992,2.021356273,7,Kelela, South Wollo,Amhara, Ethiopia
19,1987,2.086581319,6,Kelela, South Wollo,Amhara, Ethiopia
19,1991,2.144536792,5,Kelela, South Wollo,Amhara, Ethiopia
19,1990,2.184601504,4,Kelela, South Wollo,Amhara, Ethiopia
19,2014,2.186345669,3,Kelela, South Wollo,Amhara, Ethiopia
19,2011,2.198476686,2,Kelela, South Wollo,Amhara, Ethiopia
19,2004,2.203430051,1,Kelela, South Wollo,Amhara, Ethiopia
20,1984,1.886848399,10,Kombolcha, South Wollo,Amhara, Ethiopia
20,2015,2.116275635,9,Kombolcha, South Wollo,Amhara, Ethiopia
20,2008,2.509331846,8,Kombolcha, South Wollo,Amhara, Ethiopia
20,2011,2.530085553,7,Kombolcha, South Wollo,Amhara, Ethiopia
20,2004,2.541340392,6,Kombolcha, South Wollo,Amhara, Ethiopia
20,1987,2.637161128,5,Kombolcha, South Wollo,Amhara, Ethiopia
20,1991,2.722510161,4,Kombolcha, South Wollo,Amhara, Ethiopia
20,2002,2.729761434,3,Kombolcha, South Wollo,Amhara, Ethiopia
20,1990,2.733821977,2,Kombolcha, South Wollo,Amhara, Ethiopia
20,2009,2.761903268,1,Kombolcha, South Wollo,Amhara, Ethiopia
